rank,city,region,postal_code,population
824,Wylie,TX,75098,60334
825,Pico Rivera,CA,90660,60272
826,Madison,AL,35756,60106
827,Revere,MA,02151,60012
828,Blue Springs,MO,64014,59965
829,West Allis,WI,53219,59612
830,Gardena,CA,90249,59422
831,Medford,MA,02155,59354
832,Herriman,UT,84096,59346
833,Santee,CA,92071,59332
834,Petaluma,CA,94954,59247
835,Margate,FL,33068,59198
836,Des Plaines,IL,60018,59156
837,Monterey Park,CA,91755,59132
838,Kokomo,IN,46902,59122
839,St. Peters,MO,63376,59092
840,National City,CA,92136,58893
841,The Hammocks,FL,33196,58838
842,Towson,MD,21210,58679
843,Taylorsville,UT,84123,58678
844,Hoboken,NJ,07030,58668
845,Cupertino,CA,95014,58566
846,Severn,MD,21144,58402
847,Carson City,NV,89701,58384
848,Lenexa,KS,66214,58384
849,Lake Havasu City,AZ,86403,58359
850,Coconut Creek,FL,33073,58330
851,Midwest City,OK,73110,58297
852,Bentonville,AR,72713,58249
853,Apopka,FL,32712,58232
854,St. Clair Shores,MI,48081,58140
855,Bel Air South,MD,21009,58137
856,Royal Oak,MI,48067,57950
857,Bowie,MD,20720,57926
858,Orland Park,IL,60467,57916
859,Kannapolis,NC,28027,57890
860,Brookhaven,GA,30329,57855
861,Lacey,WA,98513,57737
862,Decatur,AL,35603,57361
863,Kettering,OH,45440,57206
864,Bradenton,FL,34208,57014
865,Sarasota,FL,34232,56970
866,Marana,AZ,85653,56938
867,Bartlett,TN,38002,56876
868,Oak Lawn,IL,60453,56861
869,Kyle,TX,78666,56823
870,Smyrna,TN,37167,56692
871,Highland,CA,92359,56675
872,Smyrna,GA,30126,56633
873,New Brunswick,NJ,08901,56345
874,Beaumont,CA,92223,56266
875,Fountain Valley,CA,92708,56258
876,Southaven,MS,38671,56226
877,DeSoto,TX,75115,56211
878,Tigard,OR,97224,56011
879,Perth Amboy,NJ,08861,55855
880,Apple Valley,MN,55124,55679
881,Fountainebleau,FL,33172,55665
882,South Whittier,CA,90604,55650
883,Berwyn,IL,60402,55595
884,Mount Prospect,IL,60056,55472
885,Texas City,TX,77591,55364
886,West Haven,CT,06516,55351
887,Chicopee,MA,01020,55295
888,Plainfield,NJ,07062,55236
889,San Jacinto,CA,92583,55180
890,Arcadia,CA,91006,55170
891,West Sacramento,CA,95605,54927
892,Tinley Park,IL,60477,54842
893,Little Elm,TX,75068,54820
894,Peabody,MA,01960,54695
895,Westfield,IN,46033,54677
896,Yucaipa,CA,92399,54421
897,Rocky Mount,NC,27803,54297
898,Kentwood,MI,49512,54296
899,Hacienda Heights,CA,91745,54291
900,Manhattan,KS,66506,54239
901,Twin Falls,ID,83301,54164
902,Colton,CA,92324,53772
903,Normal,IL,61761,53569
904,Pinellas Park,FL,33781,53560
905,Wheaton,IL,60187,53557
906,Diamond Bar,CA,91789,53355
907,Oak Park,IL,60301,53292
908,Eagle Mountain,UT,84013,53290
909,Aspen Hill,MD,20853,53279
910,Edina,MN,55424,53262
911,Huntington Park,CA,90255,53108
912,Minnetonka,MN,55345,53064
913,Elyria,OH,44035,53035
914,Lincoln,CA,95648,52956
915,Wheaton,MD,20906,52926
916,Burleson,TX,76028,52918
917,Grand Island,NE,68803,52884
918,Wake Forest,NC,27587,52844
919,Placentia,CA,92870,52826
920,Kendale Lakes,FL,33175,52622
921,Catalina Foothills,AZ,85750,52593
922,Novato,CA,94949,52546
923,Aloha,OR,97078,52389
924,Mooresville,NC,28117,52381
925,Cathedral City,CA,92276,52267
926,Paramount,CA,90723,52050
927,Westchester,FL,33174,52032
928,West New York,NJ,07093,52004
929,Palm Desert,CA,92260,51990
930,Levittown,NY,11714,51904
931,Columbus,IN,47203,51824
932,Florissant,MO,63033,51773
933,Dunwoody,GA,30338,51758
934,Delano,CA,93215,51679
935,Summerville,SC,29485,51654
936,Collierville,TN,38017,51515
937,Burien,WA,98146,51513
938,East Honolulu,HI,96821,51360
939,Country Club,FL,33015,51296
940,Hoffman Estates,IL,60192,51175
941,Rockwall,TX,75032,51168
942,Grapevine,TX,75261,51139
943,Aliso Viejo,CA,92656,51113
944,Jeffersonville,IN,47130,51043
945,Troy,NY,12182,51033
946,El Dorado Hills,CA,95762,51026
947,Milford city,CT,06461,51023
948,Mishawaka,IN,46544,51021
949,Levittown,PA,19054,50926
950,Glendora,CA,91740,50926
951,Cuyahoga Falls,OH,44221,50909
952,Enid,OK,73701,50653
953,Hilo,HI,96720,50404
954,Draper,UT,84020,50278
955,Florin,CA,95823,50211
956,Murray,UT,84117,50188
957,Downers Grove,IL,60515,50054
958,Everett,MA,02149,50045
959,Rosemead,CA,91770,50013
960,Lakewood,OH,44107,50007
961,Covina,CA,91724,49888
962,Coral Gables,FL,33146,49802
963,Tamiami,FL,33175,49752
964,North Bethesda,MD,20895,49677
965,McLean,VA,22046,49627
966,Bothell,WA,98021,49610
967,St. Louis Park,MN,55426,49594
968,Chesterfield,MO,63017,49574
969,Lawrence,IN,46216,49517
970,Cypress,CA,90630,49498
971,Titusville,FL,32796,49385
972,Ceres,CA,95358,49342
973,Dublin,OH,43017,49294
974,Stillwater,OK,74078,49269
975,Portage,MI,49002,49259
976,Tuckahoe,VA,23229,49183
977,Leesburg,VA,20175,49171
978,Bedford,TX,76022,49085
979,Fort Pierce,FL,34949,49082
980,Ocoee,FL,34761,49033
981,Azusa,CA,91702,49031
982,Cedar Hill,TX,75104,48879
983,Biloxi,MS,39531,48861
984,Euclid,OH,44132,48823
985,Poway,CA,92064,48713
986,Gallatin,TN,37066,48532
987,Wauwatosa,WI,53213,48529
988,San Luis Obispo,CA,93401,48491
989,Saratoga Springs,UT,84045,48425
990,Wilson,NC,27896,48370
991,Antelope,CA,95843,48301
992,Oro Valley,AZ,85755,48162
993,University,FL,33549,48127
994,Goose Creek,SC,29486,48078
995,Niagara Falls,NY,14303,47987
996,Middletown,CT,06457,47958
997,North Highlands,CA,95660,47957
998,Winter Garden,FL,34787,47872
999,Cerritos,CA,90703,47867
1000,Huntsville,TX,77341,47864
