rank,gender,name,count,frequency
206,f,Anni,109835,1:880
207,f,Dorothea,108281,1:893
208,m,Waldemar,107821,1:897
209,f,Yvonne,107494,1:899
210,f,Hilde,107427,1:900
211,m,Alois,106428,1:908
212,m,Hans-Peter,106323,1:909
213,m,Ingo,105965,1:912
214,m,Konrad,104428,1:926
215,m,Carsten,104295,1:927
216,f,Gerlinde,104203,1:928
217,f,Martha,103399,1:935
218,m,Bruno,102968,1:939
219,f,Lydia,101894,1:949
220,f,Agnes,101228,1:955
221,m,Rüdiger,101220,1:955
222,f,Stephanie,98947,1:977
223,m,Friedhelm,98703,1:979
224,m,Tobias,97011,1:997
225,f,Nadine,96543,1:1001
226,f,Heidrun,96207,1:1005
227,m,Marco,96050,1:1007
228,m,Armin,95069,1:1017
229,f,Ines,94631,1:1022
230,m,Alfons,94334,1:1025
231,f,Edeltraud,93858,1:1030
232,f,Olga,93735,1:1031
233,m,Winfried,93353,1:1036
234,m,Rudi,93129,1:1038
235,m,Erhard,93027,1:1039
236,f,Else,92748,1:1042
237,f,Britta,92313,1:1047
238,f,Marita,91886,1:1052
239,f,Vera,91577,1:1056
240,m,Max,91567,1:1056
241,f,Gabi,91324,1:1059
242,f,Marina,91116,1:1061
243,m,Viktor,90912,1:1063
244,f,Carola,89954,1:1075
245,f,Rosa,89501,1:1080
246,m,Egon,89068,1:1085
247,f,Luise,88681,1:1090
248,f,Charlotte,88672,1:1090
249,m,Ewald,87886,1:1100
250,f,Sieglinde,87471,1:1105
251,m,Andre,87252,1:1108
252,f,Diana,86371,1:1119
253,f,Ellen,85946,1:1125
254,m,Klaus-Dieter,84591,1:1143
255,f,Franziska,82530,1:1171
256,f,Herta,81293,1:1189
257,f,Bianca,80923,1:1195
258,m,Jakob,80622,1:1199
259,m,Harry,80619,1:1199
260,m,Karlheinz,80014,1:1208
261,f,Kirsten,79261,1:1220
262,f,Veronika,78470,1:1232
263,f,Elvira,78418,1:1233
264,f,Annegret,77614,1:1246
265,m,Karsten,77466,1:1248
266,m,Florian,76128,1:1270
267,f,Käthe,76081,1:1271
268,m,Claus,75316,1:1284
269,m,Hans-Dieter,74880,1:1291
270,f,Frieda,74817,1:1292
271,f,Lisa,74766,1:1293
272,m,Achim,74656,1:1295
273,m,Eugen,73415,1:1317
274,f,Irma,72401,1:1335
275,m,Edgar,71090,1:1360
276,f,Ina,71087,1:1360
277,m,Sascha,70565,1:1370
278,m,Eduard,69846,1:1384
279,f,Marlene,69732,1:1386
280,m,Patrick,69408,1:1393
281,f,Ramona,68391,1:1414
282,f,Brunhilde,67424,1:1434
283,f,Theresia,67381,1:1435
284,m,Mathias,67334,1:1436
285,f,Heidemarie,66587,1:1452
286,m,Marc,66450,1:1455
287,f,Nina,66383,1:1456
288,f,Uta,66034,1:1464
289,m,Theo,65042,1:1486
290,m,Marcus,64684,1:1495
291,f,Sabrina,64001,1:1511
292,f,Adelheid,63025,1:1534
293,m,Guido,61887,1:1562
294,m,Lars,61414,1:1574
295,f,Hanna,60494,1:1598
296,m,Rene,60413,1:1600
297,m,Franz-Josef,59969,1:1612
298,f,Anette,59571,1:1623
299,f,Gertraud,59529,1:1624
300,m,Eckhard,58798,1:1644
301,f,Marga,58652,1:1648
302,f,Verena,57850,1:1671
303,m,Gottfried,57554,1:1680
304,f,Jana,57352,1:1686
305,m,Arno,57030,1:1695
306,m,David,56546,1:1710
307,m,Jun,56398,1:1714
308,f,Magdalena,55612,1:1738
309,m,Dietrich,54629,1:1770
310,m,Philipp,54607,1:1770
311,m,Burkhard,54409,1:1777
312,m,Berthold,54399,1:1777
313,f,Irina,53497,1:1807
314,f,Corinna,52645,1:1836
315,f,Eva-Maria,52423,1:1844
316,f,Evelyn,52331,1:1847
317,f,Klara,51941,1:1861
318,f,Tatjana,51626,1:1873
319,f,Wilma,51498,1:1877
320,f,Elena,51243,1:1887
