rank,gender,name,count,frequency
832,f,Birgitta,6434,1:15026
833,m,Bernard,6432,1:15031
834,f,Auguste,6426,1:15045
835,m,Antonie,6418,1:15064
836,m,Falko,6368,1:15182
837,m,Albin,6362,1:15196
838,m,Andrew,6359,1:15203
839,f,Ortrud,6353,1:15218
840,m,Götz,6326,1:15283
841,f,Anastasia,6305,1:15334
842,f,Cäcilie,6273,1:15412
843,f,Leonore,6262,1:15439
844,m,Raphael,6216,1:15553
845,m,Torben,6171,1:15666
846,m,Georgios,6118,1:15802
847,f,Brunhild,6113,1:15815
848,f,Gertrude,6094,1:15864
849,f,Isa,6075,1:15914
850,f,Joanna,6069,1:15930
851,m,Carlos,5989,1:16143
852,m,Heinz-Georg,5964,1:16210
853,m,Danny,5926,1:16314
854,u,Michele,5918,1:16336
855,m,Friedbert,5913,1:16350
856,f,Inka,5876,1:16453
857,m,Harri,5851,1:16523
858,f,Kati,5849,1:16529
859,f,Gerta,5819,1:16614
860,m,Fridolin,5818,1:16617
861,m,Hardy,5814,1:16628
862,m,Reinhardt,5800,1:16669
863,m,Michel,5790,1:16697
864,f,Heiderose,5775,1:16741
865,m,Hans-Christian,5753,1:16805
866,f,Annemie,5752,1:16808
867,f,Trude,5746,1:16825
868,f,Victoria,5740,1:16843
869,m,Karl-Wilhelm,5699,1:16964
870,u,Thi,5694,1:16979
871,f,Simona,5656,1:17093
872,m,Eckard,5646,1:17123
873,f,Helgard,5602,1:17258
874,m,Ernst-August,5587,1:17304
874,m,Gabriel,5587,1:17304
876,f,Jaqueline,5565,1:17372
877,f,Silvana,5557,1:17397
878,m,Angelo,5547,1:17429
879,m,Meinolf,5506,1:17559
880,m,Elly,5490,1:17610
881,m,Mohammad,5488,1:17616
882,m,Karl-Otto,5487,1:17619
882,f,Konstanze,5487,1:17619
884,f,Inna,5467,1:17684
885,f,Dunja,5443,1:17762
886,f,Rosita,5423,1:17827
887,m,Hans-Willi,5421,1:17834
888,f,Emine,5379,1:17973
889,m,Osman,5374,1:17990
890,f,Traudel,5370,1:18003
891,m,Vincenzo,5366,1:18017
892,f,Rosalinde,5348,1:18077
893,f,Änne,5324,1:18159
894,m,Enno,5286,1:18289
894,m,Karl-Ludwig,5286,1:18289
896,f,Marlen,5283,1:18300
897,f,Leonie,5272,1:18338
898,f,Gerhild,5262,1:18373
899,m,Karl-Ernst,5247,1:18425
900,m,Claus-Peter,5212,1:18549
901,m,Karl-Heinrich,5211,1:18553
902,m,Vitali,5210,1:18556
903,m,Hanno,5166,1:18714
904,f,Eugenie,5136,1:18824
905,f,Helen,5135,1:18827
906,f,Katarina,5108,1:18927
907,m,Burghard,5089,1:18997
908,m,Dimitrios,5068,1:19076
909,f,Anny,5064,1:19091
910,m,René,5033,1:19209
911,f,Hatice,5032,1:19213
912,f,Diane,5022,1:19251
913,m,Hellmut,5008,1:19305
914,f,Evelyne,4998,1:19343
915,f,Catrin,4995,1:19355
915,f,Marija,4995,1:19355
917,f,Madeleine,4992,1:19367
918,m,Andy,4979,1:19417
919,m,James,4968,1:19460
920,m,Hanspeter,4942,1:19563
921,f,Hannah,4941,1:19566
922,m,Ortwin,4940,1:19570
923,f,Manja,4933,1:19598
924,f,Emilia,4892,1:19762
925,f,Mary,4871,1:19848
926,m,Jrgen,4825,1:20037
927,m,Juan,4816,1:20074
928,f,Jolanta,4794,1:20166
929,m,Cornelius,4790,1:20183
930,m,Swen,4759,1:20315
931,m,Jean,4740,1:20396
932,f,Natalja,4736,1:20413
933,m,Karl-Hermann,4731,1:20435
934,f,Dietlinde,4725,1:20461
935,f,Amalie,4718,1:20491
936,f,Renata,4717,1:20496
937,f,Lilly,4712,1:20517
938,m,Friedemann,4685,1:20636
939,f,Halina,4664,1:20729
940,m,Heinz-Hermann,4652,1:20782
941,f,Ernestine,4633,1:20867
942,m,Jens-Peter,4627,1:20894
943,f,Kunigunde,4619,1:20930
944,m,Kuno,4616,1:20944
945,m,Dominic,4608,1:20980
946,m,Fredi,4589,1:21067
947,m,Anatoli,4584,1:21090
948,f,Berit,4579,1:21113
948,m,Edward,4579,1:21113
950,m,Heinz-Joachim,4551,1:21243
951,m,William,4546,1:21267
952,f,Cathrin,4542,1:21285
953,m,Carlo,4530,1:21342
954,f,Lea,4528,1:21351
955,m,Samuel,4511,1:21432
956,f,Sibille,4495,1:21508
957,f,Brita,4494,1:21513
958,m,Dierk,4493,1:21517
958,f,Mina,4493,1:21517
960,f,Almuth,4474,1:21609
961,f,Myriam,4459,1:21682
962,m,Gero,4451,1:21720
963,m,Yusuf,4440,1:21774
964,f,Maria-Luise,4423,1:21858
965,m,Herwig,4421,1:21868
966,f,Anne-Marie,4414,1:21903
967,m,Wolf-Rüdiger,4411,1:21917
968,f,Aloisia,4408,1:21932
969,f,Patrizia,4367,1:22138
970,f,Zita,4365,1:22148
971,m,Milan,4357,1:22189
972,f,Christiana,4353,1:22209
973,f,Valerie,4351,1:22220
974,m,Kaspar,4334,1:22307
975,m,Ole,4316,1:22400
976,m,Sandro,4307,1:22447
977,f,Ekaterina,4300,1:22483
978,m,Niklas,4291,1:22530
979,u,Dominique,4285,1:22562
980,f,Lioba,4271,1:22636
981,m,Emanuel,4264,1:22673
982,m,Meinhard,4255,1:22721
983,f,Roswita,4253,1:22732
984,m,Dimitri,4233,1:22839
985,m,Karl-Peter,4231,1:22850
986,u,Peer,4203,1:23002
987,f,Susi,4171,1:23179
988,f,Kristine,4157,1:23257
989,m,Yilmaz,4150,1:23296
990,f,Herma,4149,1:23301
991,m,Leonid,4142,1:23341
992,f,Rose-Marie,4135,1:23380
993,f,Beata,4128,1:23420
994,f,Angelina,4124,1:23443
995,f,Traude,4100,1:23580
996,m,Ulli,4095,1:23609
997,f,Malgorzata,4091,1:23632
998,f,Insa,4059,1:23818
999,m,Mohammed,4041,1:23924
1000,f,Alexa,4030,1:23990
